Company Name,Profile Heading,About Company,Email,Contact,Toll Free Number ,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Aura Spa,Aura Spa,"Aura Spa is a luxury spa at The Park in Kolkata. It offers treatments including Thai massages, deep tissue massages and aromatherapy, exfoliating scrubs and more.",,,,"The Park Hotel, 17, Park St, Maidan, Taltala",700016,,,India,West Bengal,Kolkata
Sawasdee Namaste Spa,Sawasdee Namaste Spa,Sabai Namaste Spa is a unique spa that combines the best of eastern and western massage techniques.,,,,"No.15-C, Sarat Bose Road, Opposite Hindustan Club",700020,,,India,West Bengal,Kolkata
Ode Spa,Ode Spa,"Whether you're looking for a day of pampering or an extended retreat from the everyday grind, Ode Spa is the perfect place to indulge.",,,,"Level 7, Hotel Radisson, 17, Garcha 1st Ln, Ballygunge",700019,,,India,West Bengal,Kolkata
Kaya kalp,Kaya Kalp,"Kaya Kalp is a beauty salon with a wide range of treatments including pampering massages, body wraps and facials.",,,,"Shop No, 27B, Harish Mukherjee Rd, Bhowanipore",700025,,,India,West Bengal,Kolkata
The Oberoi spa and fitness Centre,The Oberoi Spa And Fitness Centre,"This luxury resort spa offers a range of therapeutic treatments, including body wraps and massages using different massage techniques. ",,,,"A, Shree Ram Arcade, 15, Jawaharlal Nehru Rd, Maidan, New Market Area, Dharmatala",700013,,,India,West Bengal,Kolkata
Taj Bengal,Taj Bengal,"The Taj Bengal hotel is a luxurious establishment located in the affluent Alipore district of Kolkatas. It features 8 restaurants, an outdoor pool and spa.",,,,"34-B, Belvedere Rd, Alipore, Kolkata, West Bengal, India",700027,,,India,West Bengal,Kolkata
Agni Vedic Village Spa Resort,Agni Vedic Village Spa Resort,Agni - Vedic Village Spa Resort is a restaurant with waterfront views and yoga sessions.,,,,"H967+7MF, Vedic Village Spa Resort, Shikharpur, Maula Ali, Taltala, New Town, Kolkata, India",700135,,,India,West Bengal,Kolkata
Samsara,Samsara,"Samsara is a beauty salon located in London. It offers a range of services, including hair and beauty treatments.",,,,"Gate No 2, Stadium Complex, Sec 3, Saltlake, Paribahan Bhavan, opposite Bharat Petroleum Petrol Pump",700029,,,India,West Bengal,Kolkata
Balinese Spa,Balinese Spa,"The Balinese spa offers a very professional and relaxing day spa experience. The therapists are polite and knowledgeable, and the facilities are top-notch. ",,,,"BF-23, near CAP Camp Island, BF Block, Sector 1, Bidhannagar",700091,,,India,West Bengal,Kolkata
The Urban body Spa,The Urban Body Spa,"Urban Body Spa is a top notch Kolkata spa that provides high-quality, authentic spa treatments. ",,,,"D-Block, 463/2, Naskarhat",700039,,,India,West Bengal,Kolkata
Golden Tips Tea- City Centre Mall,Golden Tips Tea- City Centre Mall,"Golden Tips Tea is a store that specializes in loose leaf teas and offers a wide variety of brands, flavors and styles. ",,,,"C126 & 141, (1st Floor), City Centre-II (Mall, near Swissotel, Newtown",700064,,,India,West Bengal,Kolkata
Club Prana,Club Prana,The spa Club Prana is a top-quality establishment that offers a variety of treatments to help ease the soul. ,,,,"Hyatt Regency Kolkata JA, 1, Sector III, Bidhannagar",700106,,,India,West Bengal,Kolkata
Mystic Yoga,Mystic Yoga,"Mystic Yoga is a yoga studio that offers retreats designed to promote a happier, healthier and more fulfilling life.",,,,"Bidhannagar, CD 89, Opposite Seva Hospital, Sector 1",700064,,,India,West Bengal,Kolkata
Sanjeeva Ayurveda Wellness Centre,Sanjeeva Ayurveda wellness Centre,"It is located in the Vedic Village Spa Resort in Rajarhat. The staff are polite and welcoming, and the experience at the spa was great.",,,,Vedic Village,700135,,,India,West Bengal,Kolkata
Sohum Spa,Sohum Spa,"The Sohum Spa at Kenilworth Kolkata is a real class spa with excellent staff, who are very co operative.",,,,"West B, 1 & 2, Little Russel St, Kankaria Estates, Park Street area",700071,,,India,West Bengal,Kolkata
The Thai Spa,The Thai Spa,"The Thai Spa occupies a large and well-lit space in the heart of Mumbai, complete with a large reception area, treatment rooms, and a luxurious spa area. ",,,,"Unit 401, 164/1, Maniktala Main Rd, Kadapara, Phool Bagan, Kankurgachi",700054,,,India,West Bengal,Kolkata
Keya Seth Medi Spa,Keya Seth Medi Spa,"The Keya Seth Medi Spa is a great place to go for a day of pampering. The staff are very friendly and helpful, and the treatments they offer are top-notch.",,,,"P-169, Ultadanga Main Rd, CIT Scheme VII M, Kankurgachi",700054,,,India,West Bengal,Kolkata
Neena's Beauty Parlour,Neena's Beauty Parlour,,,,,"Nayapatti, Sector V, Bidhannagar",700102,,,India,West Bengal,Kolkata
Charm Beauty Centre,Charm Beauty Centre,,,,,"P 164, C I T Road IV(M), Beliaghata",700010,,,India,West Bengal,Kolkata
Dandy Style Salon,Dandy style Salon,,,,,"Ground Floor, Dandy Style Salon Hair and Beauty Salon Ballygunge Nail Extension Makeup Parlour, 32a, Lower Range Road",700017,,,India,West Bengal,Kolkata
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
