Company Name,Profile Heading,About Company,Email,Contact,Toll free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
No Limits Lounge And Club,No Limits Lounge And Club,,,,,"8, 2nd Floor, Allied Grande Plaza, Diagonally Opposite Garuda Mall, Magrath Road, Brigade Road",560025,,,India,Karnataka,Bangalore
Bangalore Golf Club,Bangalore Golf Club,,,,,"Kumarakrupa Rd, Sampangi Rama Nagar, Kumara Park East",560001,,,India,Karnataka,Bangalore
Rajasthan Cosmo Club,Rajasthan Cosmo Club,,,,,"no 10, 1 st Floor, 2 ND Main, 2 ND Cross, Kumara Park West, Sripuram",560020,,,India,Karnataka,Bangalore
Director's Bar,Director's Bar,,,,,"Chairman's Club & Resort, Ground Floor, Kodigehalli Main Road",560092,,,India,Karnataka,Bangalore
Clark's Exotica Convention Resort And Spa,Clark's Exotica Convention Resort And Spa,,,,,"Swiss Town, Hollywood Junction, Sadahalli Post, Near-Devanahalli Road, Devanahalli",562110,,,India,Karnataka,Bangalore
High Ultra Lounge,High Ultra Lounge,,,,,"26/1, Rooftop, World Trade Center, Dr Rajkumar Rd, Malleshwaram",560055,,,India,Karnataka,Bangalore
Toit Brewpub,Toit Brewpub,,,,,"Indiranagar, 100 Feet Rd, Near Drops Total Spirites",560038,,,India,Karnataka,Bangalore
Vapour Pub And Brewery,Vapour Pub And Brewery,,,,,"773, 100 Feet Rd, HAL 2nd Stage, Doopanahalli, Indiranagar",560038,,,India,Karnataka,Bangalore
Pebble the jungle lounge,Pebble the jungle lounge,,,,,"Princess Academy, Palace Grounds No 3 , Ramana Maharishi Road, Bellary Rd",560080,,,India,Karnataka,Bangalore
XU Fashion Bar Kitchen,XU Fashion Bar Kitchen,,,,,"The Leela Palace, 23, Level C, HAL 2nd Stage, Kodihalli",560008,,,India,Karnataka,Bangalore
Ice Bar Teppanyaki,Ice Bar Teppanyaki,,,,,"Taj Mg Road, Mahatma Gandhi Rd, Opposite 1 MG - Lido Mall, Halasuru, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens",560001,,,India,Karnataka,Bangalore
Byg Brewski Brewing Company,Byg Brewski Brewing Company,,,,,"SOUTHERN ASIA BIBLE COLLEGE, Byrathi Village, 22, Hennur Bagalur Main Rd",560077,,,India,Karnataka,Bangalore
The Black Rabbit,The Black Rabbit,,,,,"770, 12th Main Rd, HAL 2nd Stage, Doopanahalli, Indiranagar",560038,,,India,Karnataka,Bangalore
Indigo XP,Indigo XP,,,,,"6th Block, 71-72, Jyoti Nivas College Rd, 5th Block, Koramangala",560095,,,India,Karnataka,Bangalore
Happy Brew,Happy Brew,,,,,"40, 4th B Cross Rd, KHB Colony, 5th Block, Koramangala Industrial Layout, Koramangala",560034,,,India,Karnataka,Bangalore
Xtreme Sports Bar,Xtreme Sports Bar,,,,,"37/2,, Chicago Avenue, Opposite Sigma Mall, Cunningham Rd, Vasanth Nagar",560052,,,India,Karnataka,Bangalore
Hard Rock Café,Hard Rock Café,,,,,"40, St Mark's Rd, Shanthala Nagar, Ashok Nagar",560001,,,India,Karnataka,Bangalore
The Sugar Factory,The Sugar Factory,,,,,"Le Meridien Hotel, 28, Sankey Road, Palace Cross Rd, Vasanth Nagar",560052,,,India,Karnataka,Bangalore
Church Street Social,Church Street Social,,,,,"Church St 46/1, Cobalt, Haridevpur, Shanthala Nagar, Ashok Nagar",560001,,,India,Karnataka,Bangalore
The Humming Tree,The Humming Tree,,,,,"No.39, St Mark's Rd, Shanthala Nagar, Ashok Nagar",560001,,,India,Karnataka,Bangalore
Arbor Brewing Company,Arbor Brewing Company,,,,,"Allied Grand Plaza, 3rd, 8, Magrath Rd, Ashok Nagar",560025,,,India,Karnataka,Bangalore
Koramangala Social,Koramangala Social,,,,,"Seventh Block, Plot 118, Koramangala 80 Feet Rd, above Bodyworks Spa, KHB Colony, 7th Block, Koramangala",560095,,,India,Karnataka,Bangalore
The Biere Club,The Biere Club,,,,,"20/2, Vittal Mallya Rd, D' Souza Layout, Ashok Nagar",560001,,,India,Karnataka,Bangalore
Opus SuperClub,Opus SuperClub,,,,,"No 26, Haralur Main Rd, near HP Petrol Station, Amblipura, PWD Quarters, Ambalipura, HSR Layout",560102,,,India,Karnataka,Bangalore
Pecos Classic,Pecos Classic,,,,,"34, Rest House Rd, Shanthala Nagar, Sampangi Rama Nagara",560001,,,India,Karnataka,Bangalore
Sri Chamundeshwari Sugars limited,Sri Chamundeshwari Sugars limited,,,,,"88/5, Richmond Rd, Richmond Town",560025,,,India,Karnataka,Bangalore
IBAR the park,IBAR the park,,,,,"The Park, MG Road, 14/7, Bhaskaran Rd, Sivanchetti Gardens",560042,,,India,Karnataka,Bangalore
Boho,Boho,,,,,"105, 1st A cross Rd, KHB Colony, 5th Block, Koramangala",560066,,,India,Karnataka,Bangalore
The Mysore Sugar,The Mysore Sugar,,,,,"No. 4, Mysugar Building, JC Rd, Kumbaragundi, Kalasipalya",560002,,,India,Karnataka,Bangalore
The Leela Palace,The Leela Palace,,,,,"23, HAL Old Airport Rd, HAL 2nd Stage, Kodihalli",560008,,,India,Karnataka,Bangalore
Shangri La,Shangri La,,,,,"No. 56, 6B, Palace Rd, Abshot Layout, Vasanth Nagar",560001,,,India,Karnataka,Bangalore
UB City,UB City,,,,,"24, Vittal Mallya Rd, KG Halli, D' Souza Layout, Ashok Nagar",560001,,,India,Karnataka,Bangalore
The Ritz carlton,The Ritz carlton,,,,,"99, Residency Rd, Shanthala Nagar, Ashok Nagar",560025,,,India,Karnataka,Bangalore
Radisson Blue Atria,Radisson Blue Atria,,,,,"1, Palace Rd, Ambedkar Veedhi, Sampangiram Nagar",560001,,,India,Karnataka,Bangalore
Hyatt Centric,Hyatt Centric,,,,,"1/1 Swami Vivekananda Road, Mahatma Gandhi Rd, Halasuru",560008,,,India,Karnataka,Bangalore
Bombay Adda,Bombay Adda,,,,,"Building 5th floor, Z1 Construction, 6, 20th Main Rd, next to Sapna Book House, KHB Colony, 7th Block, Koramangala",560085,,,India,Karnataka,Bangalore
Olive Beach,Olive Beach,,,,,"16, Wood St, near Karnataka Bank, Ashok Nagar",560025,,,India,Karnataka,Bangalore
ITC Windsor,ITC Windsor,,,,,"Windsor Square, 25, Golf Course Road",560052,,,India,Karnataka,Bangalore
The Bar Stock Exchange,The Bar Stock Exchange,,,,,"19, MG Road, Haridevpur, Shanthala Nagar, Shivaji Nagar",560001,,,India,Karnataka,Bangalore
Bob's Bar,Bob's Bar,,,,,"777/I, 100 Feet Rd, HAL 2nd Stage, Doopanahalli, Indiranagar",560008,,,India,Karnataka,Bangalore
Three dots and  a dash,Three dots and  a dash,,,,,"No.840/1, 100 ft road, Metro Pillar 56 & 57, Indiranagar",560038,,,India,Karnataka,Bangalore
ITC Gardenia,ITC Gardenia,,,,,"1, Residency Rd, Ashok Nagar",560025,,,India,Karnataka,Bangalore
Hilton Bangalore Embassy Golflinks,Hilton Bangalore Embassy Golflinks,,,,,"Off, Intermediate Ring Rd, Embassy Golf Links Business Park, Challaghatta",560071,,,India,Karnataka,Bangalore
House Of Commons,House Of Commons,,,,,"Ground 1085, 14th Main Rd, near McDonalds, Sector 3, HSR Layout",560102,,,India,Karnataka,Bangalore
Shiro,Shiro,,,,,"3rd Floor, 222, Vittal Mallya Rd, KG Halli, D' Souza Layout, Ashok Nagar",560001,,,India,Karnataka,Bangalore
Palm Meadows,Palm Meadows,,,,,"Varthur Rd, Whitefield, Phase 1, Ramagondanahalli",560066,,,India,Karnataka,Bangalore
The Reservoire,The Reservoire,,,,,"17th Main Rd, KHB Colony, 5th Block, Koramangala",560095,,,India,Karnataka,Bangalore
